Marker	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6	Ch7	Ch8
1	3D65F	53EF5	56EB6	41826	3D79E	3B6A9	352D3	34AA4
1	49C95	662FA	6ACC8	4EC14	494B1	46980	3EE82	3E1DC
1	16EB6	13036	12CA9	15B53	5490	4925	2CF3	2D20
1	AD0D5	88FD7	84E05	A2868	2040D	1AEB7	F475	F899
1	2988F	20B80	1F713	26F5D	78F2	6567	3965	3B4F
1	3B3E3	51444	54622	3F483	3B5E8	3954B	33390	32C2F
1	4A838	67575	6C362	4F906	4A0BE	474AA	3F789	3EAF2
1	163D0	12912	12549	15163	5403	48F7	2D69	2D6F
1	ACA66	88C7C	845D9	A230D	20205	1AD59	F2F8	F70E
1	2A954	21861	20252	27F20	7AB9	66E0	39A9	3BB2
1	37E1B	4CF33	52EFD	3B729	38E52	36FAB	3134F	30C73
1	4DAB1	6C735	76581	529C1	4E8C0	4BA44	43675	42918
1	13D86	10E3A	10491	12EAB	5341	4976	3093	30A8
1	AE629	89E50	7F2FF	A44FD	20C13	1B7C9	FD4C	10297
1	30A0C	263D1	22CB9	2DC73	8D12	76B2	43C6	4609
1	35BB4	4A283	50E54	39219	36CA5	34E69	2F517	2EE36
1	4EF9F	6E7F1	7A35E	53ECC	4FF7C	4CF72	448B8	43B26
1	12687	FDA5	F341	11966	5152	486D	311A	30EB
1	ACA6B	882B2	7AEFD	A2C07	200B5	1AE0C	F61C	FA32
1	33323	28285	23AE7	30384	9267	7AC0	458B	478F
1	328B3	46213	4E2B0	35A08	33D7A	32114	2CBDB	2C590
1	4F78E	6FAD1	7E3D4	5443D	5107B	4DFDE	45721	44939
1	11ABF	F78D	EDEB	10EFD	5349	4A90	33E4	33B6
1	AC529	88091	79275	A2A31	20079	1ADBE	F604	FB2E
1	3568B	29EBA	24BC6	325E8	98A9	8025	4897	4AEC
1	3143A	447DF	4C857	3445A	32ABA	30EB0	2BBDE	2B5C0
1	50777	7149B	806FA	554FC	52436	4F298	46843	45A94
1	11135	F1E1	EA6A	10661	5521	4C6D	3611	35DE
1	ABF08	878EF	78A9E	A2478	20374	1AF6F	F738	FC18
1	37416	2B545	25EAB	341BA	9EB7	84FB	4B86	4DBA
1	30A73	43876	4B4FD	338ED	31E7C	303C8	2B1EF	2ABC5
1	51AAC	72DEC	81FD1	56806	534C4	503B1	47743	46946
1	13B32	11722	11F4F	12D7F	62AA	5881	3ED4	3EA4
1	AAAFE	8756D	85546	A049E	21A76	1C58F	10C3D	110BD
1	31041	2698D	25B58	2DF54	94E4	7DB7	49BB	4BC4
1	360BB	4992F	4C36E	39A93	36ADC	34E55	2F739	2F05C
1	516B8	70946	75971	56F0F	51CB1	4ED72	46632	45854
1	123B9	FF6A	FF40	11723	5577	4C2F	3457	342E
1	AB091	880BC	84579	A0C92	20E26	1B90C	FE75	102FB
1	3353D	28828	270D6	3028F	9795	7F2D	48CF	4AF3
1	35073	484F1	4AD22	38A49	355B4	339A1	2E37A	2DD36
1	52604	7203B	76FE9	580D4	52443	4F46E	46B0F	45D3D
1	117D2	F68A	F72F	10C35	536E	4AAA	33F3	338F
1	A9A82	86A00	8320B	9F81A	1FF2A	1AC18	F43C	F841
1	34A25	297AC	28076	3166E	989C	8006	4859	4A89
1	3347C	46265	488C7	36D56	3396C	31D81	2C98C	2C333
1	52A6F	729DD	77988	586BF	52861	4F76C	46D03	45EF8
1	10BD3	EE76	EF4D	1010E	53F8	4B57	3508	34CA
1	A8A9F	85CC1	8224F	9E76E	1FF71	1AB36	F26F	F700
1	365F7	2AD83	294C4	33029	9DF4	8406	4A49	4C66
1	3242B	4469B	46D80	35A1E	32691	30C26	2BA65	2B3F7
1	5421B	744D4	796CE	59DB4	53C27	50B85	47F21	470A8
1	10397	EA89	EBAE	F9CA	54B3	4C7E	36EA	367D
1	A7C7C	852DA	8174F	9D9D9	1F7F6	1A4EA	EEB0	F2BE
1	37EA9	2C0F0	2A705	34704	A150	86BD	4BBF	4DDC
1	30899	4237D	4485B	33D5B	30B87	2F157	2A2C4	29CFF
1	5464F	74C93	79DA2	5A2F5	54152	50F79	483BD	47567
1	A63C3	83C19	8058B	9C2E9	1F0C8	19EF9	EB36	F02C
1	39484	2D15B	2B837	35BAA	A4C7	89CA	4D78	4FDE
1	2EFFD	4031D	42660	323A7	2F3B2	2D9EF	28D76	287AE
1	54EBC	759FB	7AB8C	5ACF8	54B17	51857	48AF1	47C72
1	F439	E236	E49B	EC30	5721	4F38	3A88	3A0F
1	A6944	84147	809E6	9C773	1F37D	1A0AB	EBA9	F017
1	3B50A	2EB13	2D0E8	37A03	AAF8	8EBA	5036	5260
1	2E436	3F2A2	41498	31638	2E5E1	2CD9B	281FB	27C2B
1	56134	77316	7C3B6	5BF77	55A6D	528AA	498E8	48A2E
1	EBAD	DD8E	E014	E49D	585A	50D8	3CA3	3C05
1	A484D	82832	7EF28	9A8E6	1EDDF	19C64	E946	ED41
1	3C6E3	2F9CF	2DE66	38AD9	AE7F	9199	51CF	53F1
1	2D0E0	3D7F8	3F9C8	301F1	2D37E	2BB7C	271AA	26D2A
1	569E1	77E15	7D002	5C91B	564B9	53217	4A154	4942F
1	E16E	D75C	DAA3	DB67	5950	520F	3E6C	3DEC
1	A2847	80E42	7D9AA	98B76	1E82C	197E2	E5F5	EBA0
1	3E18F	30EB2	2F3D5	3A434	B330	95C7	53F8	56B8
1	2C732	3C766	3E775	2F757	2CAAA	2B2D3	26B47	26648
1	57DDD	79639	7E7D0	5DEAB	57A7A	5468A	4B50A	4A68B
1	DAE1	D47A	D826	D5AB	5BC3	5492	4141	4087
1	A1801	7FE00	7C8A2	97A02	1E685	195F1	E53F	E9CB
1	3FF15	3248B	308A3	3BF28	B8D8	9A4C	56B1	590B
1	2BBA7	3B82B	3D7E5	2E9EA	2BD2C	2A6AB	25F79	25A65
1	5935F	7B537	80837	5F3A5	58CA3	55985	4C4A6	4B5FB
1	D6E5	D45F	D85A	D280	5DC3	56EE	440D	4334
1	A12CA	7FAA3	7C280	97521	1DE82	18F98	E1E0	E5BD
1	41F3E	33E0F	31FF4	3DD25	BD29	9DD4	58D0	5B11
1	2A1F8	395EC	3B504	2CF2E	2A46E	28E41	2497B	2457B
1	591B0	7B3F8	8075E	5F2A9	58CAE	558E7	4C44A	4B6FA
1	D0B1	D1FC	D669	CD33	6084	59BF	46D0	461A
1	9F385	7E431	7ADB4	958F3	1DF3C	19085	E1BD	E75C
1	433AB	34EF5	330D4	3F0D2	C238	A241	5B28	5E02
1	2898D	3762B	3942C	2B5B9	28D21	27711	23499	23026
1	59982	7C04F	81508	5FC33	59726	5619C	4CC28	4BD78
1	CBBF	0	277C58	1F4340	1E6E40	251408	767A0	62D18
1	45528	3684D	34970	4101A	C7F1	A6DC	5DE4	605E
1	27363	35C23	378DA	29DD0	274E2	26035	21F10	21A92
1	59FFC	7CE3C	82273	6023A	599BA	5655A	4CE1A	4BF49
1	CB0A	D3B1	D93F	C930	6730	60A1	4E12	4D04
1	9D6E1	7CA54	794E0	93CDA	1D386	1867B	DC36	E01D
1	46C65	37A9A	35AE0	42593	CB39	A98E	5F76	61BA
1	271A1	35358	37074	29B54	273B0	25F4D	21F79	21B5C
1	5BC69	7EB40	8413D	61F91	5B6F9	5821C	4E99B	4DAB6
1	C76E	D422	D9E9	C692	6B53	64D9	5254	510F
1	9C3EE	7C042	788E9	92D72	1D307	18669	DC42	DFC2
1	4903E	39872	376FA	4481C	D29F	B000	6334	6592
1	25E48	33BDE	357A8	287C1	26144	24CDE	20E7D	20A58
1	5BCB2	7F18B	8474F	6224E	5B9C9	58345	4E9E2	4DA8E
1	C376	D370	DA07	C363	6E03	6771	551A	53D8
1	9AA14	7A680	7749E	9136C	1CD08	1809F	D8B1	DD05
1	4AA14	3AB59	38B3A	45FFB	D711	B38D	6528	67B1
1	2514C	327EC	34219	278AE	252BD	23F76	20318	1FEF1
1	5C812	7FE6E	852F9	62C5E	5C261	58CB0	4F348	4E3DD
1	C0F0	D4F7	DBDD	C1BC	720A	6B94	5915	57C5
1	98AF1	7926B	75EEE	8F730	1CACB	17F32	D7C2	DB98
1	4C0D4	3BEA6	39CD6	47577	DBE7	B76A	675E	69AF
1	24207	311FB	32CAC	26896	243E9	23132	1F5F3	1F265
1	5D3EB	80BC8	86293	63906	5CEA8	598EA	4FD9D	4EECE
1	C10E	D8BB	DFF9	C298	773B	70CE	5DFB	5C8F
1	97F2A	78B5D	756C6	8EC8B	1CABA	17F92	D7FD	DBA8
1	4E17D	3D8F7	3B590	49425	E230	BCD2	6A7D	6CEF
1	22EB4	2FA4B	313AF	254AD	23163	21F17	1E598	1E204
1	5D8FF	81718	86D72	64012	5D60F	59FB6	503C0	4F471
1	C0D9	DC08	E3FD	C344	7BBD	754A	6294	6113
1	96D87	778EC	7486A	8DC3A	1C252	17873	D41A	D88A
1	500B7	3EFD9	3CD41	4B1AD	E6E5	C10F	6D02	6FC1
1	228F3	2F1A1	30A08	24E90	22C0C	2199D	1E130	1DD97
1	5EC73	8325C	8890F	6554E	5EA67	5B244	514DB	50561
1	BE38	DDB2	E62C	C187	806B	79EB	670C	657A
1	523DD	40BDE	3E6FB	4D1FA	EE8E	C720	70BB	7317
1	21827	2D8C9	2F18A	23BF7	219E8	208B0	1D1CC	1CE18
1	5F23D	83697	88F71	659DD	5ED38	5B672	51844	5083D
1	C0AB	E39C	EC7F	C4A5	85AB	7F34	6BF9	6A44
1	93F00	757EE	72625	8B055	1BCA9	17401	D17A	D532
1	53E45	4223A	3FCE2	4EB2D	F369	CB3C	72EB	757A
1	2050B	2C186	2D90A	22833	20736	1F684	1C130	1BDFB
1	5F531	83E8E	896D1	65E3A	5F180	5BA9D	51BD4	50C29
1	C0A6	E794	F121	C58C	8B89	84FB	7184	6FC0
1	921AC	74086	71207	895ED	1B815	17041	CF45	D3C3
1	564CC	4405D	41B1E	51018	F91E	D05B	75C2	78A3
1	1F8B9	2AFAD	2C5B6	21B1B	1FB81	1EAEE	1B726	1B3F6
1	60133	84DFE	8A523	66BA1	5FF76	5C735	5275D	517A1
1	C3A4	EE52	F85B	C94D	9245	8B74	7774	75A2
1	90C56	72DB9	6FF25	87FA9	1B79A	16F51	CEEA	D2CA
1	57C6B	451BD	42BB1	52512	FFE5	D5B7	7902	7B84
1	1EB08	29ACD	2B140	20B97	1EC78	1DCFA	1AA9B	1A769
1	60807	85353	8ACC0	670CC	602F0	5CBE3	52B68	51B5E
1	C51A	F383	FDF5	CB69	9788	90CD	7C82	7A8B
1	8F2DE	71B16	6EB85	867F0	1B16C	16AC9	CC25	CFBA
1	59E8A	46D7D	44592	544F0	105D7	DAA3	7BD4	7E65
1	1DE3F	28A81	29FB4	1FE5B	1E015	1D0AA	19FD5	19D19
1	60D87	85C9C	8B43E	6777E	60A01	5D1DA	53221	5228B
1	C6C6	F8B0	10384	CDE5	9D52	9661	81FB	7FDC
1	8D1DF	70370	6D7CA	84B5F	1AC81	16642	C9FE	CD4A
1	5B91C	48347	45C64	55F26	10AD7	DEF1	7E92	8133
1	1D232	27A12	28E40	1F1E6	1D4B9	1C57C	1958C	192D7
1	61994	86E9D	8C706	685E4	618E4	5DF7A	53D6C	52DB5
