Marker	Ch1
0       6E25A
0       24D73
0       47468
0       1577C
0       6D3C9
0       43BDD
0       785F9
0       151DF
0       4186F
0       1533B
0       6AE2A
0       2A851
0       7C481
0       14CCE
0       2D1BF
0       3C25C
0       7FD58
0       685D9
0       2E89C
0       7FE76
0       15348
0       6873F
0       36C3C
0       82B8E
0       66046
0       334BD
0       3450E
0       15B6F
0       649E6
0       317E7
0       844BD
0       62F67
0       37D4E
0       2F9A0
0       16E6B
0       61514
0       2D01F
0       86ED5
0       5F6AB
0       3C0E7
0       2B415
0       187C2
0       5E209
0       2919D
0       8955E
0       5BDF5
0       40FF6
0       2735D
0       1A0CB
0       59CC0
0       24D73
0       8AC12
0       58001
0       4546D
0       23072
0       1CAA5
0       56161
0       214C6
0       8B8EF
0       53DAD
0       498C8
0       1FC6C
0       1F468
0       51EA7
0       1DF5A
0       8B94B
0       4FBCE
0       4E528
0       1C66E
0       22A70
0       4DCEA
0       1AFDC
0       8B0FF
0       4B806
0       52938
0       8B114
0       2627F
0       499CE
0       17B36
0       89098
0       47160
0       56A26
0       89813
0       2A5E3
0       44F59
0       15D7A
0       875DD
0       42AAC
0       5A779
0       870EC
0       2E779
0       5C935
0       14182
0       85016
0       3E2D2
0       5E261
0       84D5D
0       33866
0       607D3
0       131A0
0       82BB0
0       398EF
0       6137B
0       8191A
0       384A6
0       63BF0
0       1241A
0       7F8E2
0       356AF
0       64E74
0       7DDFA
0       3D129
0       66F21
0       11DDF
0       C00000
0       311C6
0       67575
0       7A685
0       42E02
0       69964
0       11E4D
0       450EF
0       2CEB7
0       69B82
0       7664C
0       48C2A
0       6BF36
0       12120
0       4AF58
0       29058
0       123E0
0       718DF
0       4E64A
0       6DDCA
0       12FC6
0       50A5C
0       25357
0       137AD
0       6CA3D
0       53DFA
0       6F627
0       14843
0       55EE7
0       21FD2
0       1501E
0       67688
0       59639
0       7008F
0       162AE
0       5B872
0       1EFB3
0       16B3F
0       62135
0       5F37B
0       70922
0       184A1
0       613E7
0       1C376
0       1932E
0       5CB0D
0       6568D
0       70A8C
0       1AB40
0       666A1
0       1A03F
0       1B739
0       56F89
0       69C92
0       705B5
0       1D6F6
0       6B943
0       180D6
0       1E7C9
0       5138B
0       17304
0       6FBB4
0       209B9
0       70A08
0       1699D
0       21F12
0       4B74A
0       16343
0       6E832
0       2423F
0       752E3
0       1587C
0       25F61
0       459DB
0       154EE
0       6CBF9
0       27F3F
0       79A75
0       14EBE
0       29F8C
0       4006B
0       151B4
0       6A96A
0       2BE07
0       7DA7E
0       14D77
0       2E198
0       3A52B
0       151DF
0       67B97
0       2FFAA
0       81366
0       152B3
0       3276A
0       3528F
0       15D7E
0       64F9E
0       3244A
0       84457
0       15DF3
0       37654
0       2FE01
0       17097
0       61D65
0       2D94A
0       871BE
0       C00000
0       3C181
0       2BC23
0       18346
0       5E29E
0       28FD0
0       89455
0       5C308
0       404A8
0       277DF
0       1A2C4
0       5A9FA
0       25388
0       8AB82
0       5858C
0       45007
