Marker	Ch1
0	71F3
0	236DC
0	19927
0	24C61
0	72DB
0	22CEE
0	B832
0	24FA0
0	22944
0	1A8B1
0	AFD9
0	7850
0	22036
0	1AF78
0	24C91
0	7A73
0	1B42B
0	AA44
0	25092
0	210EC
0	1BEBE
0	249A1
0	7E9D
0	206F0
0	9DB5
0	24ECB
0	1FF9A
0	1CE39
0	9870
0	8639
0	1F96F
0	9512
0	24AEB
0	881E
0	1DA96
0	901E
0	8C02
0	1E4F4
0	11
0	2497C
0	8F99
0	1E95C
0	8C59
0	24C18
0	1D7A2
0	1F3BE
0	246F6
0	961C
0	1F7C6
0	88F5
0	25074
0	1C6D7
0	20398
0	243B2
0	9F07
0	20714
0	80DD
0	24CF1
0	1B7A1
0	2140C
0	2443D
0	A82E
0	21878
0	7ECB
0	24FB3
0	1A7F1
0	220FF
0	24255
0	B08D
0	226B8
0	7673
0	24654
0	199A7
0	2306C
0	23B7B
0	BA05
0	23367
0	7004
0	23B99
0	1868A
0	23D48
0	23784
0	C459
0	2419F
0	6EA9
0	23A97
0	177C1
0	2497C
0	23257
0	CDFC
0	24C84
0	6BBB
0	2347D
0	16785
0	2553B
0	22B29
0	D71F
0	257AF
0	67D2
0	22B4E
0	15732
0	260E7
0	223DF
0	E267
0	14E8E
0	65C5
0	21F99
0	13E42
0	2656F
0	218AA
0	ECA3
0	13C48
0	6429
0	215FE
0	13266
0	2703D
0	20FD1
0	F63E
0	12FA6
0	63AA
0	20BF5
0	12697
0	27ACF
0	2090F
0	1022D
0	11FC4
0	6520
0	20301
0	1179F
0	282FD
0	1FED6
0	10D9F
0	11162
0	660B
0	1FAEA
0	1098D
0	28B5E
0	1F622
0	11827
0	102C9
0	67CC
0	1F277
0	FB14
0	29236
0	680F
0	12410
0	F74C
0	0
0	1E50B
0	12865
0	2989D
0	6A6C
0	1E2FC
0	E546
0	29CBE
0	1DBEE
0	133DE
0	2A4A3
0	6E4F
0	1D7A4
0	DA64
0	2A288
0	1D358
0	1406F
0	2A936
0	72A7
0	1CDB3
0	D10C
0	2A8D7
0	1C60F
0	14A74
0	2ADFE
0	77C3
0	1C147
0	C56F
0	2AD8B
0	1BD2A
0	1588C
0	2B4B6
0	7DE9
0	1B7A8
0	BB16
0	2B155
0	1B1D7
0	16265
0	B59B
0	83A8
0	1AB92
0	B032
0	2B367
0	1A671
0	16E4E
0	AC26
0	8A74
0	19F60
0	A5E3
0	2B4F4
0	8E51
0	17A47
0	9FDC
0	9345
0	19090
0	17BFD
0	2B562
0	9649
0	186C8
0	9440
0	2B3E1
0	184B7
0	18992
0	2B87C
0	9F08
0	18F9B
0	8C65
0	2B033
0	178C9
0	19400
0	2B703
0	A86C
0	199A0
0	840D
0	2AD7B
0	16B26
0	19E5E
0	2B05A
0	B207
0	1A53A
0	7E02
0	2AB80
0	15E77
0	1A601
0	2AE0B
0	BE35
0	1565B
0	7904
0	2A7B2
0	150FF
0	1AFFC
0	2AA15
0	C8B6
0	14A53
0	73CE
0	2A4C0
0	1455C
0	1B869
0	2A377
0	D4D8
0	13E20
0	6EAE
0	29EC1
0	13D7A
0	1C1ED
0	299BC
0	DCCE
0	13018
0	69E5
0	296E4
0	13064
0	1CABC
0	6833
0	EAE1
0	12400
0	659B
0	28D3F
0	EE80
0	1CCF1
0	6279
0	283AC
0	11763
0	1D05F
0	28780
0	FC1B
0	1D46E
0	60D1
0	27E37
0	10AA4
0	1D59F
0	27EBD
0	10926
0	1DB42
0	5F20
0	277A4
0	FF01
0	1DC73
0	27736
0	11641
0	1E117
0	5E9F
0	26F7F
0	F1F7
0	1E1FB
0	26B2E
0	122EA
0	1E330
0	5C47
0	26233
0	E60D
0	1E5DD
0	25E50
0	1305B
0	1E9F9
0	5D25
0	25B2D
0	DC4F
0	1EC57
0	25786
0	13FDC
0	1ED5A
0	5CEC
0	24C76
0	CF8A
0	1EE71
0	24859
0	14CC6
0	1F0EC
0	5D63
0	244A1
0	C914
0	1F720
0	23F58
0	15C2B
0	1F905
0	5F5D
0	2392C
0	BF36
0	1FACB
0	23440
0	16B46
0	1FBEE
0	6150
0	22B71
0	B6EA
0	200CE
0	22799
0	17884
0	1FDD9
0	6370
0	2236A
0	AECC
0	20352
0	21CE5
0	18949
0	20055
0	66C4
0	2147F
0	A7AA
0	2070E
0	2107D
0	19880
0	1FF17
0	6A2D
0	207E8
0	9AB8
1	DD55
1	2C707
1	771C
1	12D34
1	D661
1	2C629
1	19F8E
1	13013
1	2CDD8
1	7A3E
1	19CF7
1	CFBD
1	2CBFD
1	7BF9
1	13A3E
1	C998
1	2CFD6
1	19391
1	13D49
1	2D1BC
1	813B
1	18FEB
1	C084
1	2D059
1	18C43
1	146E9
1	BE5D
1	87CC
1	18826
1	BA1D
1	2D588
1	8998
1	15043
1	B3E9
1	8D8F
1	17E44
1	152FF
1	2D738
1	8FDF
1	15A82
1	A7FE
1	2D3FF
1	17860
1	15D83
1	2D90F
1	96C9
1	163D8
1	A10F
1	2D216
1	16D35
1	166C3
1	2D803
1	9EBC
1	1C0000
1	97F3
1	2D1CB
1	163EF
1	16E3A
1	2D79A
1	A6AF
1	15ECB
1	919C
1	2CF3E
1	1585D
1	17428
1	2D689
1	AE7F
1	1556A
1	8AD7
1	2CE7F
1	14DFD
1	17AAE
1	2D347
1	B7C9
1	14967
1	86B5
1	2CEB0
1	142B6
1	180CD
1	2D0B6
